LMGL05030001,S-TGD-1-PA,"3-HSO3-Gal-alpha1-6-Man-beta1-2-Glc-alpha1-1-[2,3-di-O-phytanyl-sn-glycerol]-6-[phospho-2,3-di-O-phytanyl-sn-glycerol]",C104H205O26PS   ,1933.4178,Glycerolipids [GL],Glycosyldiradylglycerols [GL05],Glycosyldialkylglycerols [GL0503]
LMGL03012908,"TG(15:0/18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))[iso3]","1-pentadecanoyl-2,3-di-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03012909,"TG(15:0/18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))[iso3]","1-pentadecanoyl-2,3-di-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013395,"TG(12:0/17:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","1-dodecanoyl-2-heptadecanoyl-3-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013417,"TG(12:0/17:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-dodecanoyl-2-(9Z-heptadecenoyl)-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013438,"TG(12:0/17:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","1-dodecanoyl-2-(9Z,12Z-heptadecadienoyl)-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013572,"TG(12:0/19:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-dodecanoyl-2-9Z-nonadecenoyl-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013811,"TG(13:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","1-tridecanoyl-2-hexadecanoyl-3-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013835,"TG(13:0/16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-tridecanoyl-2-(9Z-hexadecenoyl)-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013938,"TG(13:0/18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-tridecanoyl-2-(9Z-octadecenoyl)-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013956,"TG(13:0/18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","1-tridecanoyl-2-(9Z,12Z-octadecadienoyl)-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013973,"TG(13:0/18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))[iso6]","1-tridecanoyl-2-(6Z,9Z,12Z-octadecatrienoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013990,"TG(13:0/18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))[iso6]","1-tridecanoyl-2-(9Z,12Z,15Z-octadecatrienoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014005,"TG(13:0/18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))[iso6]","1-tridecanoyl-2-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014193,"TG(14:0/15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]","1-tetradecanoyl-2-pentadecanoyl-3-(4Z,7Z,10Z,13Z,16Z,19Z-docosahexaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014219,"TG(14:0/15:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-tetradecanoyl-2-(9Z-pentadecenoyl)-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014310,"TG(14:0/17:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-tetradecanoyl-2-(9Z-heptadecenoyl)-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014331,"TG(14:0/17:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","1-tetradecanoyl-2-(9Z,12Z-heptadecadienoyl)-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014598,"TG(14:1(9Z)/15:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-(9Z-tetradecenoyl)-2-pentadecanoyl-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014624,"TG(14:1(9Z)/15:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","1-(9Z-tetradecenoyl)-2-(9Z-pentadecenoyl)-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014693,"TG(14:1(9Z)/17:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-(9Z-tetradecenoyl)-2-heptadecanoyl-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014715,"TG(14:1(9Z)/17:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","1-(9Z-tetradecenoyl)-2-(9Z-heptadecenoyl)-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014736,"TG(14:1(9Z)/17:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6]","1-(9Z-tetradecenoyl)-2-(9Z,12Z-heptadecadienoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014843,"TG(14:1(9Z)/18:4(6Z,9Z,12Z,15Z)/19:1(9Z))[iso6]","1-(9Z-tetradecenoyl)-2-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-3-9Z-nonadecenoyl-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015047,"TG(15:0/16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-pentadecanoyl-2-(9Z-hexadecenoyl)-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015168,"TG(15:0/18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))[iso6]","1-pentadecanoyl-2-(9Z,12Z-octadecadienoyl)-3-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015185,"TG(15:0/18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))[iso6]","1-pentadecanoyl-2-(6Z,9Z,12Z-octadecatrienoyl)-3-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015373,"TG(15:1(9Z)/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-(9Z-pentadecenoyl)-2-hexadecanoyl-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015397,"TG(15:1(9Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","1-(9Z-pentadecenoyl)-2-(9Z-hexadecenoyl)-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015500,"TG(15:1(9Z)/18:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]","1-(9Z-pentadecenoyl)-2-(9Z-octadecenoyl)-3-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015517,"TG(15:1(9Z)/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6]","1-(9Z-pentadecenoyl)-2-(9Z,12Z-octadecadienoyl)-3-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015518,"TG(15:1(9Z)/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6]","1-(9Z-pentadecenoyl)-2-(9Z,12Z-octadecadienoyl)-3-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015720,"TG(16:0/17:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))[iso6]","1-hexadecanoyl-2-(9Z,12Z-heptadecadienoyl)-3-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015807,"TG(16:1(9Z)/17:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]","1-(9Z-hexadecenoyl)-2-(9Z-heptadecenoyl)-3-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015810,"TG(16:1(9Z)/17:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6]","1-(9Z-hexadecenoyl)-2-(9Z,12Z-heptadecadienoyl)-3-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycerol",C54H92O6   ,836.6894,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010081,"TG(17:1(9Z)/17:2(9Z,12Z)/17:2(9Z,12Z))[iso3]","1-(9Z-heptadecenoyl)-2,3-di-(9Z,12Z-heptadecadienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010105,"TG(16:1(9Z)/17:2(9Z,12Z)/18:2(9Z,12Z))[iso6]","1-(9Z-hexadecenoyl)-2-(9Z,12Z-heptadecadienoyl)-3-(9Z,12Z-octadecadienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010107,"TG(16:0/17:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6]","1-hexadecanoyl-2-(9Z,12Z-heptadecadienoyl)-3-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03010108,"TG(16:1(9Z)/17:1(9Z)/18:3(9Z,12Z,15Z))[iso6]","1-(9Z-hexadecenoyl)-2-(9Z-heptadecenoyl)-3-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03012961,"TG(15:1(9Z)/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3]","1-(9Z-pentadecenoyl)-2,3-di-(9Z,12Z-octadecadienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013394,"TG(12:0/17:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-dodecanoyl-2-heptadecanoyl-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013416,"TG(12:0/17:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","1-dodecanoyl-2-(9Z-heptadecenoyl)-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013437,"TG(12:0/17:2(9Z,12Z)/22:3(10Z,13Z,16Z))[iso6]","1-dodecanoyl-2-(9Z,12Z-heptadecadienoyl)-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013558,"TG(12:0/19:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-dodecanoyl-2-nonadecanoyl-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013571,"TG(12:0/19:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","1-dodecanoyl-2-9Z-nonadecenoyl-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013810,"TG(13:0/16:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-tridecanoyl-2-hexadecanoyl-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013834,"TG(13:0/16:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","1-tridecanoyl-2-(9Z-hexadecenoyl)-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013918,"TG(13:0/18:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-tridecanoyl-2-octadecanoyl-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013937,"TG(13:0/18:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","1-tridecanoyl-2-(9Z-octadecenoyl)-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013955,"TG(13:0/18:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6]","1-tridecanoyl-2-(9Z,12Z-octadecadienoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013972,"TG(13:0/18:3(6Z,9Z,12Z)/20:2(11Z,14Z))[iso6]","1-tridecanoyl-2-(6Z,9Z,12Z-octadecatrienoyl)-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03013989,"TG(13:0/18:3(9Z,12Z,15Z)/20:2(11Z,14Z))[iso6]","1-tridecanoyl-2-(9Z,12Z,15Z-octadecatrienoyl)-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014004,"TG(13:0/18:4(6Z,9Z,12Z,15Z)/20:1(11Z))[iso6]","1-tridecanoyl-2-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-3-(11Z-eicosenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014192,"TG(14:0/15:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6]","1-tetradecanoyl-2-pentadecanoyl-3-(7Z,10Z,13Z,16Z,19Z-docosapentaenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014218,"TG(14:0/15:1(9Z)/22:4(7Z,10Z,13Z,16Z))[iso6]","1-tetradecanoyl-2-(9Z-pentadecenoyl)-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014287,"TG(14:0/17:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-tetradecanoyl-2-heptadecanoyl-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014309,"TG(14:0/17:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","1-tetradecanoyl-2-(9Z-heptadecenoyl)-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014330,"TG(14:0/17:2(9Z,12Z)/20:3(8Z,11Z,14Z))[iso6]","1-tetradecanoyl-2-(9Z,12Z-heptadecadienoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014437,"TG(14:0/18:4(6Z,9Z,12Z,15Z)/19:1(9Z))[iso6]","1-tetradecanoyl-2-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-3-9Z-nonadecenoyl-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014597,"TG(14:1(9Z)/15:0/22:4(7Z,10Z,13Z,16Z))[iso6]","1-(9Z-tetradecenoyl)-2-pentadecanoyl-3-(7Z,10Z,13Z,16Z-docosatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014623,"TG(14:1(9Z)/15:1(9Z)/22:3(10Z,13Z,16Z))[iso6]","1-(9Z-tetradecenoyl)-2-(9Z-pentadecenoyl)-3-(10Z,13Z,16Z-docosatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014692,"TG(14:1(9Z)/17:0/20:4(5Z,8Z,11Z,14Z))[iso6]","1-(9Z-tetradecenoyl)-2-heptadecanoyl-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014714,"TG(14:1(9Z)/17:1(9Z)/20:3(8Z,11Z,14Z))[iso6]","1-(9Z-tetradecenoyl)-2-(9Z-heptadecenoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014735,"TG(14:1(9Z)/17:2(9Z,12Z)/20:2(11Z,14Z))[iso6]","1-(9Z-tetradecenoyl)-2-(9Z,12Z-heptadecadienoyl)-3-(11Z,14Z-eicosadienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014810,"TG(14:1(9Z)/18:3(6Z,9Z,12Z)/19:1(9Z))[iso6]","1-(9Z-tetradecenoyl)-2-(6Z,9Z,12Z-octadecatrienoyl)-3-9Z-nonadecenoyl-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014827,"TG(14:1(9Z)/18:3(9Z,12Z,15Z)/19:1(9Z))[iso6]","1-(9Z-tetradecenoyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-3-9Z-nonadecenoyl-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03014842,"TG(14:1(9Z)/18:4(6Z,9Z,12Z,15Z)/19:0)[iso6]","1-(9Z-tetradecenoyl)-2-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-3-nonadecanoyl-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015022,"TG(15:0/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]","1-pentadecanoyl-2-hexadecanoyl-3-(5Z,8Z,11Z,14Z,17Z-eicosapentaenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015046,"TG(15:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6]","1-pentadecanoyl-2-(9Z-hexadecenoyl)-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015149,"TG(15:0/18:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]","1-pentadecanoyl-2-(9Z-octadecenoyl)-3-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015166,"TG(15:0/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6]","1-pentadecanoyl-2-(9Z,12Z-octadecadienoyl)-3-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015167,"TG(15:0/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6]","1-pentadecanoyl-2-(9Z,12Z-octadecadienoyl)-3-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015372,"TG(15:1(9Z)/16:0/20:4(5Z,8Z,11Z,14Z))[iso6]","1-(9Z-pentadecenoyl)-2-hexadecanoyl-3-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015396,"TG(15:1(9Z)/16:1(9Z)/20:3(8Z,11Z,14Z))[iso6]","1-(9Z-pentadecenoyl)-2-(9Z-hexadecenoyl)-3-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015480,"TG(15:1(9Z)/18:0/18:4(6Z,9Z,12Z,15Z))[iso6]","1-(9Z-pentadecenoyl)-2-octadecanoyl-3-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015498,"TG(15:1(9Z)/18:1(9Z)/18:3(6Z,9Z,12Z))[iso6]","1-(9Z-pentadecenoyl)-2-(9Z-octadecenoyl)-3-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015499,"TG(15:1(9Z)/18:1(9Z)/18:3(9Z,12Z,15Z))[iso6]","1-(9Z-pentadecenoyl)-2-(9Z-octadecenoyl)-3-(9Z,12Z,15Z-octadecatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015716,"TG(16:0/17:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]","1-hexadecanoyl-2-(9Z-heptadecenoyl)-3-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015719,"TG(16:0/17:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6]","1-hexadecanoyl-2-(9Z,12Z-heptadecadienoyl)-3-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015803,"TG(16:1(9Z)/17:0/18:4(6Z,9Z,12Z,15Z))[iso6]","1-(9Z-hexadecenoyl)-2-heptadecanoyl-3-(6Z,9Z,12Z,15Z-octadecatetraenoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
LMGL03015806,"TG(16:1(9Z)/17:1(9Z)/18:3(6Z,9Z,12Z))[iso6]","1-(9Z-hexadecenoyl)-2-(9Z-heptadecenoyl)-3-(6Z,9Z,12Z-octadecatrienoyl)-sn-glycerol",C54H94O6   ,838.705,Glycerolipids [GL],Triradylglycerols [GL03],Triacylglycerols [GL0301]
